"","country","sex","age","numeracy.level","year","earn.month","flags"
"1","Australia","F","25-64 years","Level (0/1)",2012,24,""
"2","Australia","M","25-64 years","Level (0/1)",2012,17,""
"3","Australia","F","25-64 years","Level (2)",2012,34,""
"4","Australia","M","25-64 years","Level (2)",2012,30,""
"5","Australia","F","25-64 years","Level (3)",2012,32,""
"6","Australia","M","25-64 years","Level (3)",2012,35,""
"7","Australia","F","25-64 years","Level (4/5)",2012,10,""
"8","Australia","M","25-64 years","Level (4/5)",2012,18,""
"9","Australia","F","25-64 years","Level (0/1)",2012,2400,""
"10","Australia","M","25-64 years","Level (0/1)",2012,3100,""
"11","Australia","F","25-64 years","Level (2)",2012,3100,""
"12","Australia","M","25-64 years","Level (2)",2012,3600,""
"13","Australia","F","25-64 years","Level (3)",2012,3600,""
"14","Australia","M","25-64 years","Level (3)",2012,4300,""
"15","Australia","F","25-64 years","Level (4/5)",2012,4300,""
"16","Australia","M","25-64 years","Level (4/5)",2012,5400,""
"17","Austria","F","25-64 years","Level (0/1)",2012,17,""
"18","Austria","M","25-64 years","Level (0/1)",2012,13,""
"19","Austria","F","25-64 years","Level (2)",2012,38,""
"20","Austria","M","25-64 years","Level (2)",2012,30,""
"21","Austria","F","25-64 years","Level (3)",2012,35,""
"22","Austria","M","25-64 years","Level (3)",2012,40,""
"23","Austria","F","25-64 years","Level (4/5)",2012,10,""
"24","Austria","M","25-64 years","Level (4/5)",2012,18,""
"25","Austria","F","25-64 years","Level (0/1)",2012,2200,""
"26","Austria","M","25-64 years","Level (0/1)",2012,2900,""
"27","Austria","F","25-64 years","Level (2)",2012,2700,""
"28","Austria","M","25-64 years","Level (2)",2012,3400,""
"29","Austria","F","25-64 years","Level (3)",2012,3400,""
"30","Austria","M","25-64 years","Level (3)",2012,4200,""
"31","Austria","F","25-64 years","Level (4/5)",2012,3800,""
"32","Austria","M","25-64 years","Level (4/5)",2012,5000,""
"33","Canada","F","25-64 years","Level (0/1)",2012,26,""
"34","Canada","M","25-64 years","Level (0/1)",2012,20,""
"35","Canada","F","25-64 years","Level (2)",2012,34,""
"36","Canada","M","25-64 years","Level (2)",2012,29,""
"37","Canada","F","25-64 years","Level (3)",2012,30,""
"38","Canada","M","25-64 years","Level (3)",2012,35,""
"39","Canada","F","25-64 years","Level (4/5)",2012,9,""
"40","Canada","M","25-64 years","Level (4/5)",2012,17,""
"41","Canada","F","25-64 years","Level (0/1)",2012,3900,""
"42","Canada","M","25-64 years","Level (0/1)",2012,3300,""
"43","Canada","F","25-64 years","Level (2)",2012,3300,""
"44","Canada","M","25-64 years","Level (2)",2012,4400,""
"45","Canada","F","25-64 years","Level (3)",2012,3900,""
"46","Canada","M","25-64 years","Level (3)",2012,5200,""
"47","Canada","F","25-64 years","Level (4/5)",2012,4600,""
"48","Canada","M","25-64 years","Level (4/5)",2012,6300,""
"49","Czech Republic","F","25-64 years","Level (0/1)",2012,15,""
"50","Czech Republic","M","25-64 years","Level (0/1)",2012,10,""
"51","Czech Republic","F","25-64 years","Level (2)",2012,38,""
"52","Czech Republic","M","25-64 years","Level (2)",2012,33,""
"53","Czech Republic","F","25-64 years","Level (3)",2012,37,""
"54","Czech Republic","M","25-64 years","Level (3)",2012,43,""
"55","Czech Republic","F","25-64 years","Level (4/5)",2012,9,""
"56","Czech Republic","M","25-64 years","Level (4/5)",2012,14,""
"57","Czech Republic","F","25-64 years","Level (0/1)",2012,1000,""
"58","Czech Republic","M","25-64 years","Level (0/1)",2012,1500,""
"59","Czech Republic","F","25-64 years","Level (2)",2012,1200,""
"60","Czech Republic","M","25-64 years","Level (2)",2012,1600,""
"61","Czech Republic","F","25-64 years","Level (3)",2012,1400,""
"62","Czech Republic","M","25-64 years","Level (3)",2012,1700,""
"63","Czech Republic","F","25-64 years","Level (4/5)",2012,1800,""
"64","Czech Republic","M","25-64 years","Level (4/5)",2012,2100,""
"65","Denmark","F","25-64 years","Level (0/1)",2012,16,""
"66","Denmark","M","25-64 years","Level (0/1)",2012,13,""
"67","Denmark","F","25-64 years","Level (2)",2012,33,""
"68","Denmark","M","25-64 years","Level (2)",2012,26,""
"69","Denmark","F","25-64 years","Level (3)",2012,38,""
"70","Denmark","M","25-64 years","Level (3)",2012,39,""
"71","Denmark","F","25-64 years","Level (4/5)",2012,13,""
"72","Denmark","M","25-64 years","Level (4/5)",2012,23,""
"73","Denmark","F","25-64 years","Level (0/1)",2012,2900,""
"74","Denmark","M","25-64 years","Level (0/1)",2012,3300,""
"75","Denmark","F","25-64 years","Level (2)",2012,3200,""
"76","Denmark","M","25-64 years","Level (2)",2012,3900,""
"77","Denmark","F","25-64 years","Level (3)",2012,3700,""
"78","Denmark","M","25-64 years","Level (3)",2012,4400,""
"79","Denmark","F","25-64 years","Level (4/5)",2012,4300,""
"80","Denmark","M","25-64 years","Level (4/5)",2012,5100,""
"81","Finland","F","25-64 years","Level (0/1)",2012,14,""
"82","Finland","M","25-64 years","Level (0/1)",2012,12,""
"83","Finland","F","25-64 years","Level (2)",2012,32,""
"84","Finland","M","25-64 years","Level (2)",2012,26,""
"85","Finland","F","25-64 years","Level (3)",2012,38,""
"86","Finland","M","25-64 years","Level (3)",2012,38,""
"87","Finland","F","25-64 years","Level (4/5)",2012,16,""
"88","Finland","M","25-64 years","Level (4/5)",2012,24,""
"89","Finland","F","25-64 years","Level (0/1)",2012,2200,""
"90","Finland","M","25-64 years","Level (0/1)",2012,2800,""
"91","Finland","F","25-64 years","Level (2)",2012,2500,""
"92","Finland","M","25-64 years","Level (2)",2012,3200,""
"93","Finland","F","25-64 years","Level (3)",2012,2900,""
"94","Finland","M","25-64 years","Level (3)",2012,3600,""
"95","Finland","F","25-64 years","Level (4/5)",2012,3300,""
"96","Finland","M","25-64 years","Level (4/5)",2012,4000,""
"97","France","F","25-64 years","Level (0/1)",2012,32,""
"98","France","M","25-64 years","Level (0/1)",2012,27,""
"99","France","F","25-64 years","Level (2)",2012,35,""
"100","France","M","25-64 years","Level (2)",2012,32,""
"101","France","F","25-64 years","Level (3)",2012,27,""
"102","France","M","25-64 years","Level (3)",2012,30,""
"103","France","F","25-64 years","Level (4/5)",2012,6,""
"104","France","M","25-64 years","Level (4/5)",2012,11,""
"105","France","F","25-64 years","Level (0/1)",2012,1800,""
"106","France","M","25-64 years","Level (0/1)",2012,2200,""
"107","France","F","25-64 years","Level (2)",2012,2200,""
"108","France","M","25-64 years","Level (2)",2012,2600,""
"109","France","F","25-64 years","Level (3)",2012,2700,""
"110","France","M","25-64 years","Level (3)",2012,3100,""
"111","France","F","25-64 years","Level (4/5)",2012,3200,""
"112","France","M","25-64 years","Level (4/5)",2012,3600,""
"113","Germany","F","25-64 years","Level (0/1)",2012,23,""
"114","Germany","M","25-64 years","Level (0/1)",2012,15,""
"115","Germany","F","25-64 years","Level (2)",2012,34,""
"116","Germany","M","25-64 years","Level (2)",2012,29,""
"117","Germany","F","25-64 years","Level (3)",2012,33,""
"118","Germany","M","25-64 years","Level (3)",2012,37,""
"119","Germany","F","25-64 years","Level (4/5)",2012,10,""
"120","Germany","M","25-64 years","Level (4/5)",2012,19,""
"121","Germany","F","25-64 years","Level (0/1)",2012,2300,""
"122","Germany","M","25-64 years","Level (0/1)",2012,2800,""
"123","Germany","F","25-64 years","Level (2)",2012,2800,""
"124","Germany","M","25-64 years","Level (2)",2012,3400,""
"125","Germany","F","25-64 years","Level (3)",2012,3400,""
"126","Germany","M","25-64 years","Level (3)",2012,4200,""
"127","Germany","F","25-64 years","Level (4/5)",2012,4300,""
"128","Germany","M","25-64 years","Level (4/5)",2012,5300,""
"129","Greece","F","25-64 years","Level (0/1)",2015,31,""
"130","Greece","M","25-64 years","Level (0/1)",2015,27,""
"131","Greece","F","25-64 years","Level (2)",2015,41,""
"132","Greece","M","25-64 years","Level (2)",2015,39,""
"133","Greece","F","25-64 years","Level (3)",2015,23,""
"134","Greece","M","25-64 years","Level (3)",2015,27,""
"135","Greece","F","25-64 years","Level (4/5)",2015,5,""
"136","Greece","M","25-64 years","Level (4/5)",2015,7,""
"137","Greece","F","25-64 years","Level (0/1)",2015,1300,""
"138","Greece","M","25-64 years","Level (0/1)",2015,1700,""
"139","Greece","F","25-64 years","Level (2)",2015,1500,""
"140","Greece","M","25-64 years","Level (2)",2015,1700,""
"141","Greece","F","25-64 years","Level (3)",2015,1700,""
"142","Greece","M","25-64 years","Level (3)",2015,1900,""
"143","Greece","F","25-64 years","Level (4/5)",2015,1800,""
"144","Greece","M","25-64 years","Level (4/5)",2015,2200,""
"145","Ireland","F","25-64 years","Level (0/1)",2012,29,""
"146","Ireland","M","25-64 years","Level (0/1)",2012,22,""
"147","Ireland","F","25-64 years","Level (2)",2012,39,""
"148","Ireland","M","25-64 years","Level (2)",2012,36,""
"149","Ireland","F","25-64 years","Level (3)",2012,27,""
"150","Ireland","M","25-64 years","Level (3)",2012,31,""
"151","Ireland","F","25-64 years","Level (4/5)",2012,5,""
"152","Ireland","M","25-64 years","Level (4/5)",2012,11,""
"153","Ireland","F","25-64 years","Level (0/1)",2012,2200,""
"154","Ireland","M","25-64 years","Level (0/1)",2012,2700,""
"155","Ireland","F","25-64 years","Level (2)",2012,2900,""
"156","Ireland","M","25-64 years","Level (2)",2012,3200,""
"157","Ireland","F","25-64 years","Level (3)",2012,3600,""
"158","Ireland","M","25-64 years","Level (3)",2012,3900,""
"159","Ireland","F","25-64 years","Level (4/5)",2012,4400,""
"160","Ireland","M","25-64 years","Level (4/5)",2012,4600,""
"161","Italy","F","25-64 years","Level (0/1)",2012,35,""
"162","Italy","M","25-64 years","Level (0/1)",2012,29,""
"163","Italy","F","25-64 years","Level (2)",2012,40,""
"164","Italy","M","25-64 years","Level (2)",2012,38,""
"165","Italy","F","25-64 years","Level (3)",2012,22,""
"166","Italy","M","25-64 years","Level (3)",2012,27,""
"167","Italy","F","25-64 years","Level (4/5)",2012,3,""
"168","Italy","M","25-64 years","Level (4/5)",2012,7,""
"169","Italy","F","25-64 years","Level (0/1)",2012,1900,""
"170","Italy","M","25-64 years","Level (0/1)",2012,2500,""
"171","Italy","F","25-64 years","Level (2)",2012,2100,""
"172","Italy","M","25-64 years","Level (2)",2012,2500,""
"173","Italy","F","25-64 years","Level (3)",2012,2600,""
"174","Italy","M","25-64 years","Level (3)",2012,2900,""
"175","Italy","F","25-64 years","Level (4/5)",2012,2800,""
"176","Italy","M","25-64 years","Level (4/5)",2012,3300,""
"177","Japan","F","25-64 years","Level (0/1)",2012,9,""
"178","Japan","M","25-64 years","Level (0/1)",2012,7,""
"179","Japan","F","25-64 years","Level (2)",2012,32,""
"180","Japan","M","25-64 years","Level (2)",2012,23,""
"181","Japan","F","25-64 years","Level (3)",2012,45,""
"182","Japan","M","25-64 years","Level (3)",2012,44,""
"183","Japan","F","25-64 years","Level (4/5)",2012,14,""
"184","Japan","M","25-64 years","Level (4/5)",2012,26,""
"185","Japan","F","25-64 years","Level (0/1)",2012,1600,""
"186","Japan","M","25-64 years","Level (0/1)",2012,2500,""
"187","Japan","F","25-64 years","Level (2)",2012,1900,""
"188","Japan","M","25-64 years","Level (2)",2012,3200,""
"189","Japan","F","25-64 years","Level (3)",2012,2300,""
"190","Japan","M","25-64 years","Level (3)",2012,3700,""
"191","Japan","F","25-64 years","Level (4/5)",2012,2700,""
"192","Japan","M","25-64 years","Level (4/5)",2012,4400,""
"193","Korea","F","25-64 years","Level (0/1)",2012,24,""
"194","Korea","M","25-64 years","Level (0/1)",2012,18,""
"195","Korea","F","25-64 years","Level (2)",2012,42,""
"196","Korea","M","25-64 years","Level (2)",2012,39,""
"197","Korea","F","25-64 years","Level (3)",2012,29,""
"198","Korea","M","25-64 years","Level (3)",2012,35,""
"199","Korea","F","25-64 years","Level (4/5)",2012,4,""
"200","Korea","M","25-64 years","Level (4/5)",2012,8,""
"201","Korea","F","25-64 years","Level (0/1)",2012,1600,""
"202","Korea","M","25-64 years","Level (0/1)",2012,2500,""
"203","Korea","F","25-64 years","Level (2)",2012,2100,""
"204","Korea","M","25-64 years","Level (2)",2012,3100,""
"205","Korea","F","25-64 years","Level (3)",2012,2400,""
"206","Korea","M","25-64 years","Level (3)",2012,3500,""
"207","Korea","F","25-64 years","Level (4/5)",2012,3000,""
"208","Korea","M","25-64 years","Level (4/5)",2012,4100,""
"209","Netherlands","F","25-64 years","Level (0/1)",2012,17,""
"210","Netherlands","M","25-64 years","Level (0/1)",2012,12,""
"211","Netherlands","F","25-64 years","Level (2)",2012,33,""
"212","Netherlands","M","25-64 years","Level (2)",2012,23,""
"213","Netherlands","F","25-64 years","Level (3)",2012,38,""
"214","Netherlands","M","25-64 years","Level (3)",2012,41,""
"215","Netherlands","F","25-64 years","Level (4/5)",2012,12,""
"216","Netherlands","M","25-64 years","Level (4/5)",2012,24,""
"217","Netherlands","F","25-64 years","Level (0/1)",2012,2700,""
"218","Netherlands","M","25-64 years","Level (0/1)",2012,2800,""
"219","Netherlands","F","25-64 years","Level (2)",2012,3100,""
"220","Netherlands","M","25-64 years","Level (2)",2012,3600,""
"221","Netherlands","F","25-64 years","Level (3)",2012,3400,""
"222","Netherlands","M","25-64 years","Level (3)",2012,4300,""
"223","Netherlands","F","25-64 years","Level (4/5)",2012,4000,""
"224","Netherlands","M","25-64 years","Level (4/5)",2012,4900,""
"225","New Zealand","F","25-64 years","Level (0/1)",2015,21,""
"226","New Zealand","M","25-64 years","Level (0/1)",2015,16,""
"227","New Zealand","F","25-64 years","Level (2)",2015,34,""
"228","New Zealand","M","25-64 years","Level (2)",2015,28,""
"229","New Zealand","F","25-64 years","Level (3)",2015,34,""
"230","New Zealand","M","25-64 years","Level (3)",2015,35,""
"231","New Zealand","F","25-64 years","Level (4/5)",2015,11,""
"232","New Zealand","M","25-64 years","Level (4/5)",2015,21,""
"233","New Zealand","F","25-64 years","Level (0/1)",2015,2200,""
"234","New Zealand","M","25-64 years","Level (0/1)",2015,2800,""
"235","New Zealand","F","25-64 years","Level (2)",2015,2600,""
"236","New Zealand","M","25-64 years","Level (2)",2015,3300,""
"237","New Zealand","F","25-64 years","Level (3)",2015,3200,""
"238","New Zealand","M","25-64 years","Level (3)",2015,4100,""
"239","New Zealand","F","25-64 years","Level (4/5)",2015,3900,""
"240","New Zealand","M","25-64 years","Level (4/5)",2015,5100,""
"241","Norway","F","25-64 years","Level (0/1)",2012,17,""
"242","Norway","M","25-64 years","Level (0/1)",2012,12,""
"243","Norway","F","25-64 years","Level (2)",2012,32,""
"244","Norway","M","25-64 years","Level (2)",2012,24,""
"245","Norway","F","25-64 years","Level (3)",2012,38,""
"246","Norway","M","25-64 years","Level (3)",2012,39,""
"247","Norway","F","25-64 years","Level (4/5)",2012,14,""
"248","Norway","M","25-64 years","Level (4/5)",2012,25,""
"249","Norway","F","25-64 years","Level (0/1)",2012,2900,""
"250","Norway","M","25-64 years","Level (0/1)",2012,3200,""
"251","Norway","F","25-64 years","Level (2)",2012,3200,""
"252","Norway","M","25-64 years","Level (2)",2012,3800,""
"253","Norway","F","25-64 years","Level (3)",2012,3700,""
"254","Norway","M","25-64 years","Level (3)",2012,4500,""
"255","Norway","F","25-64 years","Level (4/5)",2012,4200,""
"256","Norway","M","25-64 years","Level (4/5)",2012,5200,""
"257","Poland","F","25-64 years","Level (0/1)",2012,24,""
"258","Poland","M","25-64 years","Level (0/1)",2012,25,""
"259","Poland","F","25-64 years","Level (2)",2012,40,""
"260","Poland","M","25-64 years","Level (2)",2012,35,""
"261","Poland","F","25-64 years","Level (3)",2012,29,""
"262","Poland","M","25-64 years","Level (3)",2012,30,""
"263","Poland","F","25-64 years","Level (4/5)",2012,7,""
"264","Poland","M","25-64 years","Level (4/5)",2012,10,""
"265","Poland","F","25-64 years","Level (0/1)",2012,1100,""
"266","Poland","M","25-64 years","Level (0/1)",2012,1400,""
"267","Poland","F","25-64 years","Level (2)",2012,1300,""
"268","Poland","M","25-64 years","Level (2)",2012,1500,""
"269","Poland","F","25-64 years","Level (3)",2012,1600,""
"270","Poland","M","25-64 years","Level (3)",2012,1900,""
"271","Poland","F","25-64 years","Level (4/5)",2012,2000,""
